"EXAM","REGION","CLEAN","PASS","AVERAGE","PERCENTAGEPASS"
"PSLE","ARUSHA","34348","23250","117.8781664","67.6895"
"PSLE","DAR ES SALAAM","59576","46434","138.1074506","77.9408"
"PSLE","DODOMA","36813","16672","97.2635763","45.2883"
"PSLE","GEITA","27854","17560","115.2664388","63.0430"
"PSLE","IRINGA","21363","14650","114.0339738","68.5765"
"PSLE","KAGERA","37306","24501","119.6276788","65.6758"
"PSLE","KATAVI","7240","4419","109.9748428","61.0359"
"PSLE","KIGOMA","29181","12264","96.2348644","42.0273"
"PSLE","KILIMANJARO","37918","26192","116.3302805","69.0754"
"PSLE","LINDI","15579","7527","101.7622078","48.3150"
"PSLE","MANYARA","25306","12249","102.0849077","48.4035"
"PSLE","MARA","44349","18385","100.4645920","41.4553"
"PSLE","MBEYA","61675","28780","96.8856979","46.6640"
"PSLE","MOROGORO","42092","21839","103.4529739","51.8840"
"PSLE","MTWARA","25015","15608","116.9480296","62.3946"
"PSLE","MWANZA","53596","37017","121.5253872","69.0667"
"PSLE","NJOMBE","17115","11389","113.1281319","66.5440"
"PSLE","PWANI","23562","13242","105.3214423","56.2007"
"PSLE","RUKWA","16721","7852","97.7545690","46.9589"
"PSLE","RUVUMA","27771","15209","108.5199863","54.7658"
"PSLE","SHINYANGA","25413","13439","104.4628444","52.8824"
"PSLE","SIMIYU","25787","11074","98.9007087","42.9441"
"PSLE","SINGIDA","23734","11380","100.1484725","47.9481"
"PSLE","TABORA","33738","14199","96.1882296","42.0861"
"PSLE","TANGA","39066","26261","118.2404588","67.2221"
